mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1_w2,err_w1_w2
57268.25731822,11.217,0.02,11.24,0.029,-0.022999999999999687,0.035227829907617074
57436.56710619,11.251,0.018,11.22,0.029,0.030999999999998806,0.03413209633175202
57999.82314633,11.237,0.023,11.167,0.025,0.07000000000000028,0.03397057550292606
58366.14563262,11.249,0.025,11.226,0.026,0.022999999999999687,0.03606937759374287
58731.15005475,11.246,0.021,11.22,0.026,0.0259999999999998,0.033421549934136804
59095.31476389,11.364,0.019,11.57,0.032,-0.20599999999999952,0.03721558813185679
59253.14007154,11.253,0.02,11.248,0.025,0.005000000000000782,0.032015621187164243
59461.93108527,11.276,0.02,11.261,0.025,0.015000000000000568,0.032015621187164243
