mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1_w2,err_w1_w2
56743.17823289833,8.95588275,0.07234849306501547,8.84984195,0.0311775598585184,0.1060408000000006,0.07878035724411313
57105.30982218154,8.995754999999999,0.016298364383501237,8.8914454,0.012343157310781444,0.10430959999999878,0.02044480897382216
57469.53098471929,9.0015,0.037493769937808515,8.9255,0.01347866755595399,0.07600000000000051,0.03984290731401563
57836.76452176333,9.016,0.02224008413772033,8.948,0.012196914764408052,0.06799999999999962,0.02536505612497466
58200.820938271005,9.031500000000001,0.08869605341040443,8.9465,0.030169047503282923,0.08500000000000085,0.0936865055268722
58565.46410232,9.054,0.01518334913347844,9.0,0.02350694976207146,0.05400000000000027,0.027984116531090487
58932.119295000004,9.0785,0.020771325656855757,9.0225,0.10932914937575353,0.05599999999999916,0.11128481869854927
59296.3539007025,9.073,0.04494337395818282,9.0485,0.023786617907751377,0.024499999999999744,0.050849877622610104
59460.26881851,9.071,0.019,9.061,0.014,0.009999999999999787,0.023600847442411893
59661.55381414467,9.074,0.023739875174625013,9.048,0.08372779093709912,0.0259999999999998,0.08702829797550539
59824.03496429,9.106,0.018,9.168,0.017,-0.06199999999999939,0.024758836806279896
