mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1_w2,err_w1_w2
55253.8553608,8.557691799999999,0.023124560376233436,8.4468773,0.05688548525005867,0.11081449999999826,0.061406056091632424
55444.98208852,8.581347914999998,0.026782636203025546,8.449723500000001,0.017938490175083404,0.13162441499999744,0.03223505904671463
56715.99849412889,8.609705400000001,0.020171792944072203,8.5203757,0.012026006710685573,0.0893297000000004,0.02348459214003887
56907.06437885636,8.6126764,0.013339411697589263,8.5315458,0.03020175717071894,0.08113059999999983,0.03301645106059787
57075.385379406674,8.616142700000001,0.009351599149443175,8.53205235,0.018666703987441382,0.08409035000000031,0.0208781762710881
57270.33208097291,8.6260463,0.017966167937888848,8.536104649999999,0.016146749361383862,0.08994165000000187,0.024155759257613398
57435.67085235125,8.63198825,0.02835170655058488,8.549737799999999,0.060663805017885354,0.08225045000000009,0.06696205271329793
57635.992071825,8.62703665,0.013215491018225075,8.55326115,0.012031487493148675,0.0737755,0.01787193034203582
57801.26107001666,8.62852215,0.01384690599889381,8.5612954,0.026494787171040042,0.06722674999999967,0.029894992105382958
58000.259288655376,8.6354542,0.013892391378062766,8.5607951,0.013414619883757329,0.07465909999999987,0.01931192804530325
58158.31254460199,8.6275318,0.01789952102274541,8.5772923,0.018351255199484762,0.05023949999999999,0.025635159844251437
58367.01942493847,8.644366100000001,0.012560184603845203,8.5738026,0.010596121087512827,0.07056350000000045,0.01643277272355168
58522.568275239166,8.63099785,0.023500265469859276,8.5667997,0.02452560529557624,0.06419814999999929,0.03396715755355837
58731.349370265,8.649811549999999,0.010036029199359125,8.585254599999999,0.017426226301816856,0.06455695000000006,0.020109580930803173
58889.658180533,8.6374347,0.0209918356155167,8.58426,0.04757619671796102,0.053174699999999575,0.052001458216621194
59096.18984251167,8.65476155,0.011047222011775484,8.60849785,0.012613781632647526,0.046263700000000796,0.016767486432186934
59253.77342771273,8.6582264,0.023968810135080107,8.603571700000002,0.022629607162041744,0.05465469999999861,0.03296366150171807
59462.765818889085,8.660206200000001,0.011417810346202973,8.609483999999998,0.01480246925968992,0.050722200000002715,0.018694370523928444
59619.00641193133,8.660206200000001,0.08362420778411747,8.6065296,0.0258627791409165,0.05367660000000107,0.08753223104898605
59826.94109972417,8.65674135,0.015390412052199329,8.61489105,0.016222968163928545,0.04185030000000012,0.022361786135823798
